CVALUE:000F7000:PWP32K:First 32K
CVALUE:000F8000:PWP28K:First 28K
CVALUE:000F9000:PWP24K:First 24K
CVALUE:000FA000:PWP20K:First 20K
CVALUE:000FB000:PWP16K:First 16K
CVALUE:000FC000:PWP12K:First 12K
CVALUE:000FD000:PWP8K:First 8K
CVALUE:000FE000:PWP4K:First 4K
CVALUE:000FF000:OFF:Disabled
CSETTING:00000008:ICESEL:ICE/ICD Comm Channel Select
CVALUE:00000000:ICS_PGx1:ICE pins are shared with PGC1, PGD1
CVALUE:00000008:ICS_PGx2:ICE pins are shared with PGC2, PGD2
CSETTING:00000003:DEBUG:Background Debugger Enable bit
CVALUE:00000002:ON:Enabled
CVALUE:00000003:OFF:Disabled
